Sample_Source,Sample_Name,Sample_Type,Basename
W2026,GSM3759733,Normal,GSM3759733_CLX_Methylation_W2026_N
W2026,GSM3759734,Tumor,GSM3759734_CLX_Methylation_W2026_T
W2049,GSM3759735,Normal,GSM3759735_CLX_Methylation_W2049_N
W2049,GSM3759736,Tumor,GSM3759736_CLX_Methylation_W2049_T
W2072,GSM3759737,Normal,GSM3759737_CLX_Methylation_W2072_N
W2072,GSM3759738,Tumor,GSM3759738_CLX_Methylation_W2072_T
W2095,GSM3759739,Normal,GSM3759739_CLX_Methylation_W2095_N
W2095,GSM3759740,Tumor,GSM3759740_CLX_Methylation_W2095_T
X2011,GSM3759744,Normal,GSM3759744_CLX_Methylation_X2011_N
X2011,GSM3759745,Tumor,GSM3759745_CLX_Methylation_X2011_T
X2034,GSM3759746,Normal,GSM3759746_CLX_Methylation_X2034_N
X2034,GSM3759747,Tumor,GSM3759747_CLX_Methylation_X2034_T
X2057,GSM3759748,Normal,GSM3759748_CLX_Methylation_X2057_N
X2057,GSM3759749,Tumor,GSM3759749_CLX_Methylation_X2057_T
X2080,GSM3759750,Normal,GSM3759750_CLX_Methylation_X2080_N
X2080,GSM3759751,Tumor,GSM3759751_CLX_Methylation_X2080_T
Y2007,GSM3759753,Normal,GSM3759753_CLX_Methylation_Y2007_N
Y2007,GSM3759754,Tumor,GSM3759754_CLX_Methylation_Y2007_T
Y2030,GSM3759755,Normal,GSM3759755_CLX_Methylation_Y2030_N
Y2030,GSM3759756,Tumor,GSM3759756_CLX_Methylation_Y2030_T
Y2053,GSM3759757,Normal,GSM3759757_CLX_Methylation_Y2053_N
Y2053,GSM3759758,Tumor,GSM3759758_CLX_Methylation_Y2053_T
Y2076,GSM3759759,Normal,GSM3759759_CLX_Methylation_Y2076_N
Y2076,GSM3759760,Tumor,GSM3759760_CLX_Methylation_Y2076_T
Y2099,GSM3759761,Normal,GSM3759761_CLX_Methylation_Y2099_N
Y2099,GSM3759762,Tumor,GSM3759762_CLX_Methylation_Y2099_T
Z2015_0,GSM3759763,Normal,GSM3759763_CLX_Methylation_Z2015_N_0
Z2015_0,GSM3759764,Tumor,GSM3759764_CLX_Methylation_Z2015_T_0
Z2038,GSM3759765,Normal,GSM3759765_CLX_Methylation_Z2038_N
Z2038,GSM3759766,Tumor,GSM3759766_CLX_Methylation_Z2038_T
Z2061,GSM3759767,Normal,GSM3759767_CLX_Methylation_Z2061_N
Z2061,GSM3759768,Tumor,GSM3759768_CLX_Methylation_Z2061_T
Z2084,GSM3759769,Normal,GSM3759769_CLX_Methylation_Z2084_N
Z2084,GSM3759770,Tumor,GSM3759770_CLX_Methylation_Z2084_T
