Sample_Name,Sample_Source,Sample_Type
SRR24166158,NYU784,Tumor
SRR24166159,NYU784,Normal
SRR24166160,NYU780,Tumor
SRR24166161,NYU780,Normal
SRR24166162,NYU294,Tumor
SRR24166163,NYU294,Normal
SRR24166164,NYU279,Tumor
SRR24166165,NYU279,Normal
SRR24166166,NYU278,Tumor
SRR24166167,NYU278,Normal
SRR24166168,NYU268,Tumor
SRR24166169,NYU268,Normal
SRR24166170,NYU252,Tumor
SRR24166171,NYU252,Normal
SRR24166172,NYU20,Tumor
SRR24166173,NYU20,Normal
SRR24166174,NYU2005,Tumor
SRR24166175,NYU2005,Normal
SRR24166176,NYU2002,Tumor
SRR24166177,NYU2002,Normal
SRR24166178,NYU1808,Tumor
SRR24166179,NYU1808,Normal
SRR24166180,NYU1795,Tumor
SRR24166181,NYU1795,Normal
SRR24166182,NYU1787,Tumor
SRR24166183,NYU1787,Normal
SRR24166184,NYU178,Tumor
SRR24166185,NYU178,Normal
SRR24166186,NYU1769,Tumor
SRR24166187,NYU1769,Normal
SRR24166188,NYU1767,Tumor
SRR24166189,NYU1767,Normal
SRR24166190,NYU175,Tumor
SRR24166191,NYU175,Normal
SRR24166192,NYU1749,Tumor
SRR24166193,NYU1749,Normal
SRR24166194,NYU1368,Tumor
SRR24166195,NYU1368,Normal
SRR24166196,NYU1364,Normal
SRR24166197,NYU1364,Tumor
SRR24166198,NYU1355,Tumor
SRR24166199,NYU1355,Normal
SRR24166200,NYU1351,Tumor
SRR24166201,NYU1351,Normal
SRR24166202,NYU1334,Tumor
SRR24166203,NYU1334,Normal
SRR24166204,NYU1321,Tumor
SRR24166205,NYU1321,Normal
SRR24166206,NYU1319,Tumor
SRR24166207,NYU1319,Normal
SRR24166208,NYU1284,Tumor
SRR24166209,NYU1284,Normal
SRR24166210,NYU994,Tumor
SRR24166211,NYU994,Normal
SRR24166212,NYU965,Tumor
SRR24166213,NYU965,Normal
SRR24166214,NYU955,Tumor
SRR24166215,NYU955,Normal
SRR24166216,NYU373,Tumor
SRR24166217,NYU373,Normal
SRR24166218,NYU359,Tumor
SRR24166219,NYU359,Normal
SRR24166220,NYU346,Tumor
SRR24166221,NYU346,Normal
SRR24166222,NYU330,Tumor
SRR24166223,NYU330,Normal
SRR24166224,NYU32,Tumor
SRR24166225,NYU32,Normal
SRR24166226,NYU318,Tumor
SRR24166227,NYU318,Normal
SRR24166228,NYU307,Tumor
SRR24166229,NYU307,Normal
SRR24166230,NYU300,Normal
SRR24166231,NYU300,Tumor
SRR24166232,NYU1891,Tumor
SRR24166233,NYU1891,Normal
SRR24166234,NYU1884,Tumor
SRR24166235,NYU1884,Normal
SRR24166236,NYU1883,Tumor
SRR24166237,NYU1883,Normal
SRR24166238,NYU1873,Tumor
SRR24166239,NYU1873,Normal
SRR24166240,NYU1871,Tumor
SRR24166241,NYU1871,Normal
SRR24166242,NYU1854,Tumor
SRR24166243,NYU1854,Normal
SRR24166244,NYU1845,Tumor
SRR24166245,NYU1845,Normal
SRR24166246,NYU1837,Tumor
SRR24166247,NYU1837,Normal
SRR24166248,NYU1448,Tumor
SRR24166249,NYU1448,Normal
SRR24166250,NYU1445,Tumor
SRR24166251,NYU1445,Normal
SRR24166252,NYU1443,Tumor
SRR24166253,NYU1443,Normal
SRR24166254,NYU1435,Tumor
SRR24166255,NYU1435,Normal
SRR24166256,NYU1433,Tumor
SRR24166257,NYU1433,Normal
SRR24166258,NYU1428,Tumor
SRR24166259,NYU1428,Normal
SRR24166260,NYU1417,Tumor
SRR24166261,NYU1417,Normal
SRR24166262,NYU1416,Tumor
SRR24166263,NYU1416,Normal
SRR24166264,NYU1280,Tumor
SRR24166265,NYU1280,Normal
SRR24166266,NYU1261,Tumor
SRR24166267,NYU1261,Normal
SRR24166268,NYU1222,Tumor
SRR24166269,NYU1222,Normal
SRR24166270,NYU1213,Tumor
SRR24166271,NYU1213,Normal
SRR24166272,NYU1210,Tumor
SRR24166273,NYU1210,Normal
SRR24166274,NYU1206,Tumor
SRR24166275,NYU1206,Normal
SRR24166276,NYU1205,Tumor
SRR24166277,NYU1205,Normal
SRR24166278,NYU1196,Tumor
SRR24166279,NYU1196,Normal
SRR24166280,NYU779,Tumor
SRR24166281,NYU779,Normal
SRR24166282,NYU741,Tumor
SRR24166283,NYU741,Normal
SRR24166284,NYU713,Tumor
SRR24166285,NYU713,Normal
SRR24166286,NYU706,Tumor
SRR24166287,NYU706,Normal
SRR24166288,NYU704,Tumor
SRR24166289,NYU704,Normal
SRR24166290,NYU689,Tumor
SRR24166291,NYU689,Normal
SRR24166292,NYU675,Tumor
SRR24166293,NYU675,Normal
SRR24166294,NYU669,Tumor
SRR24166295,NYU669,Normal
SRR24166296,NYU1999,Tumor
SRR24166297,NYU1999,Normal
SRR24166298,NYU1997,Tumor
SRR24166299,NYU1997,Normal
SRR24166300,NYU1986,Tumor
SRR24166301,NYU1986,Normal
SRR24166302,NYU1982,Tumor
SRR24166303,NYU1982,Normal
SRR24166304,NYU1970,Tumor
SRR24166305,NYU1970,Normal
SRR24166306,NYU1967,Tumor
SRR24166307,NYU1967,Normal
SRR24166308,NYU1953,Tumor
SRR24166309,NYU1953,Normal
SRR24166310,NYU1951,Tumor
SRR24166311,NYU1951,Normal
SRR24166312,NYU1738,Tumor
SRR24166313,NYU1738,Normal
SRR24166314,NYU1707,Tumor
SRR24166315,NYU1707,Normal
SRR24166316,NYU1682,Tumor
SRR24166317,NYU1682,Normal
SRR24166318,NYU1678,Tumor
SRR24166319,NYU1678,Normal
SRR24166320,NYU1636,Tumor
SRR24166321,NYU1636,Normal
SRR24166322,NYU1630,Tumor
SRR24166323,NYU1630,Normal
SRR24166324,NYU1609,Tumor
SRR24166325,NYU1609,Normal
SRR24166326,NYU1603,Tumor
SRR24166327,NYU1603,Normal
SRR24166328,NYU1141,Tumor
SRR24166329,NYU1141,Normal
SRR24166330,NYU113,Tumor
SRR24166331,NYU113,Normal
SRR24166332,NYU1124,Tumor
SRR24166333,NYU1124,Normal
SRR24166334,NYU1079,Tumor
SRR24166335,NYU1079,Normal
SRR24166336,NYU1057,Tumor
SRR24166337,NYU1057,Normal
SRR24166338,NYU1037,Tumor
SRR24166339,NYU1037,Normal
SRR24166340,NYU1027,Tumor
SRR24166341,NYU1027,Normal
SRR24166342,NYU1019,Tumor
SRR24166343,NYU1019,Normal
